NAME,PER (orbital period) ,ECC ( e or g =ecentricity),A (semi major axis),MASS,R (radius of the planet),I (inclenation idk)
,s,,au,kg,au,deg
Kepler-878 b,2241406.36512,0,0.159872,2.69710335E+025,8.21977833928261E-05,
OGLE-TR-113 b,123765.90048,0,0.0228946,2.392362E+027,0.000522338239816,87.8
Kepler-356 c,1133709.0048,,0.108876,2.531441775E+025,7.71689038890894E-05,
Kepler-41 b,160320.2112,0,0.0289537,9.370938915E+026,0.000401908929264,88.3
Kepler-798 b,1185350.430816,0,0.118853,3.492639663E+025,0.000101791441062,
Kepler-825 b,326039.090976,0,0.047906,2.359381581E+025,6.49935961710718E-05,
Kepler-473 b,1257752.19312,0,0.118968,1.0348370688E+026,0.000173953448576,
Kepler-270 b,991534.5216,,0.0995717,2.820234045E+025,8.56959681279161E-05,
HD 285507 b,526011.84,0.086,0.0588842,1.7411079E+027,,
Kepler-1307 b,1556600.626944,0,0.137136,3.658567056E+025,0.000105136699688,
Kepler-1573 b,226001.26656,0,0.0372774,1.0515247431E+025,5.11346675757697E-05,
HD 40307 d,1767744,0,0.132422,5.33079012E+025,,
Kepler-590 b,505695.966048,0,0.0656127,9.978959616E+025,0.000171563978128,
Kepler-1220 b,641687.392224,0,0.0744983,2.359381581E+025,6.49935961710718E-05,
Kepler-849 b,34095555.97056,0,1.12814,2.838537513E+026,0.000304418535007,
HD 290327 b,211075200,0.08,3.43052,4.837166094E+027,,
Kepler-438 b,3044147.616,0,0.171702,8.281958517E+024,4.77514163692028E-05,89.86
Kepler-1315 b,72868.041504,0,0.0162176,1.6911625965E+025,5.87809730076605E-05,
GJ 876 e,10736064,0.055,0.333345,7.44841023E+025,,
Kepler-1413 b,1139008.10688,0,0.103048,2.539378341E+025,7.74188424978944E-05,
Kepler-1604 b,59070.320064,0,0.0141581,1.8331777617E+025,6.02146552761401E-05,
Kepler-1471 b,314409.079872,0,0.0455165,1.8331777617E+025,6.02146552761401E-05,
Kepler-1445 b,915885.144864,0,0.0983673,4.856096133E+024,4.10988916964131E-05,
Kepler-1020 b,8373468.92544,0,0.394192,3.272504385E+025,9.70125001671145E-05,
Kepler-572 b,1486532.289312,0,0.122576,3.913961193E+025,0.000109915640583,
Kepler-1598 b,375144.586272,0,0.0532751,4.657681983E+024,4.06209976069199E-05,
Kepler-1187 b,1630423.354752,0,0.141438,3.995035683E+025,0.000111349322852,
Kepler-949 b,750756.15072,0,0.0795658,4.827691581E+025,0.000124252463268,
HD 169830 c,181612800,0.33,3.60184,7.716449709E+027,,
Kepler-608 b,554041.299456,0,0.06755,7.773106917E+025,0.000155315579085,
EPIC 211822797 b,1829060.9568,0,0.127016,3.139044762E+025,9.3900453856335E-05,89.6
GJ 3998 b,228940.128,0,0.0297443,1.4822087628E+025,,
47 UMa c,206582400,0.098,3.57197,1.0362610938E+027,,
Kepler-85 b,717638.4,,0.0780663,2.763519876E+025,8.41093597507988E-05,
