GJ 4276 b,GJ 4276,1,1,1,0,13.352,0.082,0,16.57,0,0.37,0,0,0
GJ 433 b,GJ 433,0,1,3,0,7.3705,0.06,0,5.8724,0,0.0625,0,0,0
GJ 433 c,GJ 433,0,1,3,0,4247.0525,4.2095,0,38.711,0,0.1,0,0,0
GJ 433 d,GJ 433,1,1,3,0,36.059,0.178,0,5.223,0,0.07,0,0,0
GJ 436 b,GJ 436,0,1,1,0,2.6414673144444443,0.028813571428571435,2.0849958643974382,22.681156,1.786,0.15749749999999998,0,663.5,86.63128571428571
GJ 480 b,GJ 480,1,1,1,0,9.567,0.068,0,13.2,0,0.1,0,0,0
GJ 536 b,GJ 536,0,1,1,0,8.707799999999999,0.066805,0,5.9399999999999995,0,0.0995,0,0,0
GJ 581 b,GJ 581,0,1,3,0,5.36809,0.04070266666666667,0,15.848504999999998,0,0.006999999999999999,0,0,0
GJ 581 c,GJ 581,0,1,3,0,12.919140000000002,0.0725366,0,5.4330940000000005,0,0.0754,0,0,0
GJ 667 C b,GJ 667 C,0,3,5,0,7.200240000000001,0.049982750000000006,0,5.635250000000001,0,0.1435,0,0,0
GJ 674 b,GJ 674,1,1,1,0,4.6938,0.039,0,11.09,0,0.2,0,0,0
GJ 676 A e,GJ 676 A,1,2,4,0,35.379999999999995,0.187,0,9.8,0,0.1825,0,0,0
GJ 682 c,GJ 682,1,1,2,0,57.32,0.176,0,8.7,0,0.1,0,0,0
GJ 685 b,GJ 685,1,1,1,0,24.16,0.1344,0,9.0,0,0.0,0,0,0
GJ 687 b,GJ 687,1,1,2,0,38.1435,0.1655825,0,18.059927499999997,0,0.10074999999999999,0,0,0
GJ 687 c,GJ 687,1,1,2,0,727.562,1.165,0,16.0,0,0.4,0,0,0
GJ 720 A b,GJ 720 A,1,2,1,0,19.466,0.119,0,13.64,0,0.12,0,401.0,0
GJ 832 c,GJ 832,1,1,2,0,35.68,0.163,0,5.4,0,0.18,0,0,0
GJ 876 d,GJ 876,0,1,4,0,1.937844857142857,0.021213833333333335,0,6.9455325000000006,0,0.14457142857142857,0,0,56.038
GJ 876 e,GJ 876,0,1,4,0,124.38666666666666,0.34356666666666663,0,16.256021428571426,0,0.042,0,0,57.06333333333333
GJ 887 c,GJ 887,1,1,2,0,21.789,0.12,0,7.6,0,0,2.56,352.0,0
GJ 9066 b,GJ 9066,1,1,2,0,241.883,0.403,0,30.9,0,0.18,0,0,0
GJ 96 b,GJ 96,1,1,1,0,73.94,0.291,0,19.66,0,0.44,0,0,0
GJ 9827 d,GJ 9827,0,1,3,0,6.2014417,0.058289999999999995,1.0371854597685768,2.7987671648835746,2.4766666666666666,0.0,32.3,643.6666666666666,87.48075
Gl 378 b,Gl 378,1,1,1,0,3.822,0.039435,0,13.02,0,0.109,0,830.0,0
Gl 49 b,Gl 49,1,2,1,0,13.8508,0.0905,0,5.63,0,0.363,0,0,0
Gl 686 b,Gl 686,0,1,1,0,15.531163333333334,0.09123333333333333,0,6.788,0,0.042333333333333334,0,379.0,0
HAT-P-11 b,HAT-P-11,0,1,2,0,4.8878060369230765,0.052766249999999994,3.06166717466635,25.694674000000003,1.505,0.09422222222222222,97.748,816.1428571428571,89.4975
HAT-P-26 b,HAT-P-26,0,1,1,0,4.234512766666666,0.0479,3.3754029275843305,19.96999666666667,0.4,0.128,0,1001.0,88.6
